long,lat,x_coord_swiss_grid,y_coord_swiss_grid,elevation,max_depth,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
7.97253999008297,47.2042293186563,640452.57645,228280.50720300002,480.0,1281.0,26837.24607957336,26837.24607957336,257450.0258409649
8.251403999999999,47.260486,661515.72437,234715.85117399998,647.5,1817.0,22357.447795935743,22357.447795935743,281997.07286262343
6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
8.920304552000001,47.61399,711395.177731,274753.148733,519.0,2153.55,39785.04588610032,39785.04588610032,342002.26347624185
8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
8.62089228603853,47.3195488748143,689380.063571,241637.127442,641.7,2682.0,17194.68888617268,17194.68888617268,300186.360613822
8.67026521582856,47.4415012119442,692899.567907,255251.81481799998,516.0,2374.0,30321.833652301357,30321.833652301357,304204.4006274156
7.67220754639545,46.8493138144421,617814.6367350001,188712.739751,881.3,2329.0,6083.6931367682155,6083.6931367682155,214684.03307506864
6.971639275114089,46.658502082920506,564255.734962,167581.216243,947.0,2100.0,-225.859630287863,-225.859630287863,151574.95910349942
6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
7.70598602276076,46.7591581056038,620424.972651,178698.542905,1100.0,2394.0,-3796.3403114720245,-3796.3403114720245,212165.4563346019
8.955084007203231,47.2008334895503,714897.4835420001,228875.49950799998,408.0,1476.0,-402.67958856620544,-402.67958856620544,325927.723378866
8.42626611272786,47.034344193463106,675066.069574,209728.250507,457.3,2135.0,-5434.906575195109,-5434.906575195109,277312.48043587484
