x,rock_uplift
5.16055,1001.15
17.2018,987.257
27.5229,943.31
34.4037,922.49
39.5642,899.361
44.7248,878.544
51.6055,857.724
63.6468,839.208
73.9679,850.753
84.289,869.234
91.1697,890.033
104.931,894.636
111.812,873.816
118.693,852.996
123.853,829.867
139.335,746.606
144.495,723.477
149.656,702.659
154.817,679.53
165.138,651.769
178.899,640.187
189.22,603.177
197.821,582.354
206.422,591.589
213.303,607.764
218.463,633.189
225.344,614.682
235.665,596.169
239.106,577.666
245.986,556.846
254.587,536.024
276.95,487.434
285.55,466.612
307.913,420.335
321.674,411.065
344.037,341.666
350.917,320.846
359.518,300.024
375,267.63
381.881,246.81
392.202,205.176
399.083,184.356
402.523,161.229
405.963,138.103
412.844,117.283
419.725,96.4629
430.046,140.378
433.486,124.187
445.528,142.666
457.569,128.774
471.33,135.69
481.651,151.859
485.092,128.732
497.133,96.3435
498.853,38.5374
502.294,0
911.697,0
