x,rock_uplift,x_corrected,distance_thrust_front,distance_thrust_front_perpendicular
5.16055,1001.15,1.6510117795589228,-41890.35413982575,-41890.35413982575
17.2018,987.257,5.503361934215671,-43042.71526701694,-43042.71526701694
27.5229,943.31,8.805385493333517,-40919.94554201075,-40919.94554201075
34.4037,922.49,11.00675586137356,-39576.284489784135,-39576.284489784135
39.5642,899.3610000000001,12.657751644461372,-38013.33224742147,-38013.33224742147
44.7248,878.544,14.308779420491405,-36390.50147481132,-36390.50147481132
51.6055,857.7239999999999,16.51011779558923,-34228.48819736843,-34228.48819736843
63.6468,839.2080000000001,20.362483946717084,-30448.0954965416,-30448.0954965416
73.9679,850.753,23.664507505834933,-27223.80141357952,-27223.80141357952
84.289,869.2339999999999,26.966531064952775,-24064.130796436886,-24064.130796436886
91.1697,890.033,29.167869440050605,-21989.964538000324,-21989.964538000324
104.931,894.6360000000001,33.570514197304036,-18190.94345615373,-18190.94345615373
111.81200000000001,873.816,35.77194855122852,-16477.962365253043,-16477.962365253043
118.693,852.9960000000001,37.97338290515299,-15099.875646254668,-15099.875646254668
123.853,829.867,39.624218723529715,-14203.26384675744,-14203.26384675744
139.335,746.6060000000001,44.57736603750424,-13465.235145401713,-13465.235145401713
144.495,723.477,46.228201855880975,-13361.574675937056,-13361.574675937056
149.656,702.659,47.87935760367988,-13485.798611625652,-13485.798611625652
154.817,679.53,49.53051335147878,-13769.80680885058,-13769.80680885058
165.138,651.769,52.832504917654404,-14754.176756627212,-14754.176756627212
178.899,640.187,57.23505369608119,-15085.345248289163,-15085.345248289163
189.22,603.177,60.53704526225681,-13425.807524853617,-13425.807524853617
197.821,582.354,63.28875822230687,-12199.675933839006,-12199.675933839006
206.422,591.589,66.04047118235692,-9832.52338765551,-9832.52338765551
213.303,607.764,68.2419055362814,-7798.667355642298,-7798.667355642298
218.463,633.189,69.89274135465813,-6218.0045166019145,-6218.0045166019145
225.34400000000002,614.682,72.09417570858261,-4141.173558836867,-4141.173558836867
235.665,596.169,75.39616727475823,-1138.4165209829664,-1138.4165209829664
239.106,577.6659999999999,76.49704441643155,-269.75571385058964,-269.75571385058964
245.986,556.846,78.69815884093386,1204.9536121671144,1204.9536121671144
254.58700000000002,536.024,81.44987180098391,2953.8092285801517,2953.8092285801517
276.95,487.434,88.60445346888291,8271.355663925719,8271.355663925719
285.55,466.61199999999997,91.3558464995108,10053.740039241786,10053.740039241786
307.913,420.335,98.51042816740981,15717.895531753054,15717.895531753054
321.67400000000004,411.065,102.9129769458366,19002.141831665624,19002.141831665624
344.037,341.666,110.06755861373559,22903.441009157672,22903.441009157672
350.917,320.846,112.26867303823788,23962.588696323455,23962.588696323455
359.51800000000003,300.024,115.02038599828795,26368.581140833794,26368.581140833794
375.0,267.63,119.97353331226248,30714.52828745321,30714.52828745321
381.881,246.81,122.17496766618693,32401.071934139545,32401.071934139545
392.202,205.176,125.47695923236257,32161.012845196405,32161.012845196405
399.083,184.356,127.67839358628706,31000.33466086186,31000.33466086186
402.523,161.22899999999998,128.77895079853823,30463.17625648835,30463.17625648835
405.963,138.10299999999998,129.87950801078935,29947.623833328827,29947.623833328827
412.844,117.28299999999999,132.08094236471385,30451.000104653904,30451.000104653904
419.725,96.4629,134.28237671863832,32366.937034342114,32366.937034342114
430.046,140.378,137.58436828481393,34611.06833333959,34611.06833333959
433.486,124.18700000000001,138.68492549706508,35319.938438104946,35319.938438104946
445.528,142.666,142.53751559878847,36793.715229154426,36793.715229154426
457.569,128.774,146.3897857710897,37087.046968554576,37087.046968554576
471.33,135.69,150.79233454951645,37803.83079167727,37803.83079167727
481.651,151.859,154.0943261156921,38479.92142980014,38479.92142980014
485.092,128.732,155.1952032573654,38599.29540207127,38599.29540207127
497.13300000000004,96.3435,159.04747342966664,38738.790220553215,38738.790220553215
498.853,38.5374,159.5977520357922,38774.43235104269,38774.43235104269
502.29400000000004,0.0,160.69862917746553,38867.36363679299,38867.36363679299
911.697,0.0,291.678694400506,69270.72600722528,69270.72600722528
