borehole,long,lat,x_coord_swiss_grid,y_coord_swiss_grid
Altishofen,7.97253999008297,47.2042293186563,640452.57645,228280.507203
Boswil,8.251404,47.260486,661515.72437,234715.851174
"Chapelle 1",6.75095133941127,46.6656764733327,547371.567538,168503.326326
"Entlebuch 1",8.11261397324462,46.9760946452767,651282.964116,203000.452677
Huenenberg,8.43585527005872,47.1693289933173,675604.17965,224743.0695
Kuesnacht-1,8.62089228603853,47.3195488748143,689380.063571,241637.127442
Lindau-1,8.67026521582856,47.4415012119442,692899.567907,255251.814818
Linden-1,7.67220754639545,46.8493138144421,617814.636735,188712.739751
Romanens-1,6.97163927511409,46.6585020829205,564255.734962,167581.216243
Thun-1,7.70598602276076,46.7591581056038,620424.972651,178698.542905
Tuggen,8.95508400720323,47.2008334895503,714897.483542,228875.499508
Weggis,8.42626611272786,47.0343441934631,675066.069574,209728.250507
Savigny,6.738949879,46.54821,546336.432499,155453.700512
Herdern,8.920304552,47.61399,711395.177731,274753.148733
