location,borehole,long,lat,x_swiss_grid,y_swiss_grid
Altishofen,Altishofen,7.9725399901,47.2042293187,640452.57645,228280.507203
B25,,9.89256,47.43156,785106.319292,256312.620337
B30,,9.87793,47.46024,783903.951606,259465.441045
B35,,9.86446,47.468586,782860.052019,260361.459477
B40,,9.857165,47.475315,782287.262375,261092.293381
B45,,9.844155,47.480881,781288.019482,261680.712107
B50,,9.844127,47.483068,781278.454227,261923.697405
B55,,9.83029,47.51075,780142.191841,264968.255144
B60,,9.78322,47.53855,776505.524668,267950.863932
Boswil,Boswil,8.251404,47.260486,661515.72437,234715.851174
Chapelle,Chapelle,6.7509513394,46.6656764733,547371.567538,168503.326326
E05,,8.007584,46.843457,643398.254246,188192.264375
E10,,8.0138364263,46.901394607,643827.992833,194636.450026
E20,,8.0267950754,46.9221108772,644798.119825,196946.726875
E30,,8.0166017043,46.9266609993,644018.019475,197446.786912
E35,,8.0160803073,46.9270234884,643978.014339,197486.791713
E40,,8.0090026037,46.9283184367,643437.944697,197626.808548
E45,,8.0135039814,46.9317146311,643777.988903,198006.854111
E50,,8.0096205023,46.9370419831,643477.950595,198596.924928
E55,,7.9668878978,46.932478683,640227.530409,198066.861508
E60,,7.9547234126,46.9376620681,639297.410651,198636.929934
E65,,7.9988349236,46.986035956,642617.843508,204037.578446
E70b,,7.939145,47.001901,638065.71406,205770.623072
Entlebuch,Entlebuch,8.1126139732,46.9760946453,651282.964116,203000.452677
Herdern,Herdern,8.920304552,47.61399,711395.177731,274753.148733
Huenenberg,Huenenberg,8.4347466574,47.1679846484,675522.032259,224592.555518
Lindau,Lindau,8.6702652158,47.4415012119,692899.567907,255251.814818
Linden,Linden,7.6722075464,46.8493138144,617814.636735,188712.739751
MRP025,,8.5767199611,47.0533831835,686470.005288,211999.522961
MRP067,,9.4971829822,47.3456840266,755540.050996,245910.128252
MRP084,,6.8815514687,46.486674337,557224.533986,148525.441396
MRP087,,6.8347777905,46.517516144,553659.589267,151980.515008
MRP117,,7.7554209462,46.7405104176,624210.032151,176639.566329
MRP170,,8.485709014,47.0571278126,679550.026034,212319.511898
MRP172,,8.509302741,47.0488139786,681355.020599,211419.511014
MRP174,,8.5326673771,47.0554306163,683120.014731,212179.516955
MRP179,,8.0140744452,46.8842393867,643860.10276,192729.493993
MRP187,,7.306608939,46.7415932016,589910.050283,176719.934688
MRP194,,7.907817588,46.8107811383,635810.075173,184509.509937
MRP198,,8.1409348657,46.9939071342,653420.118605,204999.500625
MRT052,,9.0070056333,47.1472758504,718949.946361,222999.706263
RH10,,8.4971291788,47.0083320881,680490.769997,206906.9045
RH15,,8.4514924324,47.0329457547,676985.32021,209597.232838
RH25,,8.4261499695,47.0523388194,675032.070689,211728.492031
RH30a,,8.3542405833,47.0417518627,669582.354992,210485.34627
RH30b,,8.3542405833,47.0417518627,669582.354992,210485.34627
RH35,,8.4087625296,47.0735394534,673681.90004,214068.776065
RH40,,8.4009697882,47.0795878233,673081.823056,214733.856996
RH45,,8.4167045944,47.0902060161,674261.980946,215929.000681
RH50,,8.4139814419,47.1070529819,674031.955478,217799.227412
RH60c,,8.3385145565,47.0857618908,668331.202088,215363.936509
RH65,,8.380851,47.130224,671486.457694,220344.347073
RH70,,8.247937,47.082715,661457.094976,214950.336275
Romanens,Romanens,6.9716392751,46.6585020829,564255.734962,167581.216243
RV15,,8.4661409761,47.0440706389,678082.46765,210848.382739
RV20,,8.4613497836,47.0426739274,677720.419733,210688.363795
RV25,,8.4624946317,47.0426637214,677807.43113,210688.363705
RV30a,,8.4510983427,47.0420450577,676942.317599,210608.35493
RV30b,,8.4510983427,47.0420450577,676942.317599,210608.35493
RV30c,,8.4508419527,47.042407193,676922.315099,210648.35978
S1,,8.481814,47.055166,679256.715526,212097.930261
S2,,8.46024,47.041345,677638.01809,210538.981632
S20,,8.418922,47.043594,674494.912048,210749.050223
S3,,8.450385,47.031618,676903.431498,209448.776829
S31,,8.496015,47.007007,680407.650341,206758.791478
S64,,8.353148,47.040422,669501.204351,210336.323343
S7,,8.399869,47.078254,673000.128854,214584.114097
Savigny,Savigny,6.738949879,46.54821,546336.432499,155453.700512
Thun,Thun,7.7059860228,46.7591581056,620424.972651,178698.542905
Tuggen,Tuggen,8.9550840072,47.2008334896,714897.483542,228875.499508
Weggis,Weggis,8.4251623972,47.0330155353,674984.041826,209579.496861
RV05,RV05,8.481814,47.055166,,
RH20,RH20,8.418922,47.043594,,
RH12,RH12,8.642807789,47.11001132,,
RH23,RH23,8.41429,47.04258,,
